SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,KRISHNA CARPET COMPANY COMPANY,"SCO 849, , ",NAC MANIMAJRA,CHANDIGARH,CHANDIGARH,160017,DISPLAY,0172- 2733275,,9872229000
2,KRISHNA CARPET COMPANY COMPANY,"30 BAYS BUILDING, BRIDGE MARKET, 17C, ",SECTOR 17-B,CHANDIGARH,CHANDIGARH,160101,DEALER,0172-2703001,,9872775000
3,SOOD FOAM & REXINE STORE,"SHOP NO 928, ",MANIMAJRA,CHANDIGARH,CHANDIGARH,160101,DISPLAY,0172-5073490,,9417356644
4,ASHOK AGARWAL & COMPANY,"SCO 4, BACK SIDE, ",SECTOR 7,CHANDIGARH,CHANDIGARH,160019,DISPLAY,,,9216110504
5,SHAH SONS,"SCO NO.3027,GROUND FLOOR, OPP. KISAN BHAWAN, ",SECTOR 22 D,CHANDIGARH,CHANDIGARH,160022,DEALER,,,93576 62200
6,AMAR FURNITURE PALACE,"919-A PHASE, 2,  ",INDUSTRIAL AREA PHASE II,CHANDIGARH,CHANDIGARH,160002,DEALER,,,9872076968
7,AVTAR PLYWOOD,"SHOP NO 86,FURNITURE MARKET,",SECTOR-53-54,CHANDIGARH,CHANDIGARH,160054,DEALER,,,98150 07872
8,SHIVA FURNITURE & FURNISHINGS,"NEAR MULLAPUR, MARBLE MARKET, CHOWK, ",DHANAS,CHANDIGARH,CHANDIGARH,160054,DEALER,,9915514896,98760 86639
9,BOMBAY FURNITURE,"CORNER BAY SHOP NO.16,",SECTOR-18D,CHANDIGARH,CHANDIGARH,160018,DEALER,0172-2781677,,98882-66066
10,AGGARWAL FURNISHERS,"SCO 11, ",SECTOR 30D,CHANDIGARH,CHANDIGARH,160030,DEALER,0172-5045665,,98887 76655
11,DCA MARKETING,"SCO 54,MADHYA MARG ",SECTOR-26,CHANDIGARH,CHANDIGARH,160019,DEALER,0172-5077736,,098728-00777